Турнир,Дисциплина,Участник,Зачёт,Место,IDteam,Название,Город,Организация,Очки
chgk-03-2004,Большая игра,Гротеск-03-2004,Школьный,"7,5",,Гротеск,Иркутск,школа №11,4
chgk-03-2004,Большая игра,Империя знаний-03-2004,Школьный,"7,5",,Империя знаний,Иркутск,лицей №2,4
chgk-03-2004,Большая игра,Симпомпули-03-2004,Школьный,"7,5",,Симпомпули,Иркутск,школа №26,4
chgk-03-2004,Большая игра,Улетевшие-03-2004,Школьный,"7,5",,Улетевшие,Иркутск,Иркутский авиационный техникум,4
chgk-03-2004,Большая игра,Антиинтеллект-03-2004,Школьный,"10,5",,Антиинтеллект,Иркутск,школа №17,3
chgk-03-2004,Большая игра,Статус-03-2004,Школьный,"10,5",,Статус,Иркутск,школа №11,3
chgk-03-2004,Большая игра,65.ру-03-2004,Школьный,"14,5",,65.ру,Иркутск,школа №65,2
chgk-03-2004,Большая игра,Виктория-03-2004,Школьный,"14,5",,Виктория,Иркутск,школа №66,2
chgk-03-2004,Большая игра,Перекрёсток-03-2004,Школьный,"14,5",,Перекрёсток,Иркутск,школа №26,2
chgk-03-2004,Большая игра,СНГ-03-2004,Школьный,"14,5",,СНГ,Иркутск,гимназия №25,2
chgk-03-2004,Большая игра,LIM-03-2004,Школьный,"14,5",,LIM,Иркутск,лицей №2,2
chgk-03-2004,Большая игра,OK-03-2004,Школьный,"14,5",,OK,Иркутск,школа №49,2
chgk-03-2004,Большая игра,Баунти-03-2004,Школьный,20,,Баунти,Иркутск,школа №66,1
chgk-03-2004,Большая игра,Знатоки-03-2004,Школьный,20,,Знатоки,Иркутск,школа №10,1
chgk-03-2004,Большая игра,Сократ-03-2004,Школьный,20,,Сократ,Иркутск,гимназия №44,1
chgk-13-2016,Что? Где? Когда?,6_45-13-2016,Общий,1,2826,6 из 45,Красноярск,,67
chgk-13-2016,Что? Где? Когда?,baklava-13-2016,Общий,2,55283,Пахлава глупости,Иркутск,,61
chgk-13-2016,Что? Где? Когда?,lenin-terminator-13-2016,Общий,3,5384,Ленин-Терминатор,Красноярск,,57
chgk-13-2016,Что? Где? Когда?,tc-13-2016,Общий,4,2192,Тридцатиногая сороконожка,Иркутск,,56
chgk-13-2016,Что? Где? Когда?,fish-soup-13-2016,Общий,7,8809,Уха не без петуха,Новосибирск,,53
chgk-13-2016,Что? Где? Когда?,magic-daddy-13-2016,Общий,8,42538,Волшебные звёзды 7,Иркутск,,52
chgk-13-2016,Что? Где? Когда?,team37702,Общий,9,37702,Ибо нефиг,Иркутск,,50
chgk-13-2016,Что? Где? Когда?,team54373,Общий,10,54373,Апсны,Иркутск,,42
chgk-13-2016,Что? Где? Когда?,team51462,Общий,11,51462,Триумфальная мамка,Иркутск,,41
chgk-13-2016,Что? Где? Когда?,team42620,Общий,12,42620,РостОК,Иркутск,,38
chgk-13-2016,Что? Где? Когда?,team52250,Общий,13,52250,Сверхновая,Улан-Удэ,,36
chgk-13-2016,Что? Где? Когда?,team52106,Общий,14,52106,Девка без руки,Иркутск,,35
chgk-13-2016,Что? Где? Когда?,team51290,Общий,16,51290,Каисса,Улан-Удэ,,32
chgk-13-2016,Что? Где? Когда?,team55284,Общий,16,55284,Команды не было,Иркутск,,32
chgk-13-2016,Что? Где? Когда?,team46274,Общий,16,46274,Хемингуэй жив,Иркутск,,32
chgk-13-2016,Что? Где? Когда?,team48617,Общий,22,48617,Сейлор Мунк,Иркутск,,29
chgk-13-2016,Что? Где? Когда?,team51759,Общий,23,51759,Сталин печёт блины,Иркутск,,28
chgk-13-2016,Что? Где? Когда?,team55286,Общий,24,55286,Мы гуглили как могли,Иркутск,,27
chgk-13-2016,Что? Где? Когда?,team48625,Общий,25,48625,Плотина Канделаки,Иркутск,,25
chgk-13-2016,Что? Где? Когда?,team54267,Общий,26,54267,Гриффиндор,Иркутск,,23
chgk-13-2016,Что? Где? Когда?,team52239,Общий,27,52239,Магнат,Иркутск,,21
chgk-13-2016,Что? Где? Когда?,team52821,Общий,28,52821,Команда Ильи Тулупова,Иркутск,,20
chgk-13-2016,Что? Где? Когда?,team50720,Общий,29,50720,Что делать?,Иркутск,,19
chgk-13-2016,Что? Где? Когда?,light-irony-13-2016,Общий,30,53711,Лёгкая ирония,Иркутск,,18
chgk-13-2016,Что? Где? Когда?,team50399,Общий,31,50399,"Святой Отец, я камыши",Иркутск,,17
chgk-13-2016,Что? Где? Когда?,team45526,Общий,33,45526,Деловой грейпфрут,Иркутск,,16
chgk-13-2016,Что? Где? Когда?,druzhba-13-2016,Общий,33,1921,Дружба,Зеленогорск (К),,16
chgk-13-2016,Что? Где? Когда?,team44113,Общий,33,44113,Not bad,Иркутск,,16
chgk-13-2016,Что? Где? Когда?,team48990,Общий,35,48990,Бозон Хиггса,Иркутск,,15
chgk-13-2016,Что? Где? Когда?,team52216,Общий,36,52216,ГОП,Иркутск,,14
chgk-13-2016,Что? Где? Когда?,team52940,Общий,43,52940,Неестественный отбор,Иркутск,,11
chgk-13-2016,Что? Где? Когда?,team55285,Общий,43,55285,Нелюди в белом,Иркутск,,11
chgk-13-2016,Что? Где? Когда?,team53474,Общий,43,53474,Принцип неопределённости,Иркутск,,11
chgk-13-2016,Что? Где? Когда?,philosophers-13-2016,Общий,43,49201,Философы,Зеленогорск (К),,11
chgk-13-2016,Что? Где? Когда?,ZOG-13-2016,Общий,43,49541,ZOG,Иркутск,,11
chgk-13-2016,Что? Где? Когда?,astrrological-hedgehogs-13-2016,Общий,46,49020,Астрологические ёжики,Иркутск,,10
chgk-13-2016,Что? Где? Когда?,team55287,Общий,47,55287,Гелиос,Улан-Удэ,,9
chgk-13-2016,Что? Где? Когда?,team55289,Общий,48,55289,Весёлый бамбук,Ангарск,,8
chgk-13-2016,Что? Где? Когда?,team48393,Общий,50,48393,Мстители,Иркутск,,5
chgk-13-2016,Что? Где? Когда?,team45512,Общий,50,45512,Титаник,Иркутск,,5
chgk-13-2016,Что? Где? Когда?,team50266,Общий,50,50266,Idee fixe,Зеленогорск (К),,5
chgk-13-2016,Что? Где? Когда?,team40328,Общий,54,40328,Восьмёрочка,Ангарск,,2
chgk-13-2016,Что? Где? Когда?,team46188,Общий,18.5,46188,Пионеры,Улан-Удэ,,31
chgk-13-2016,Что? Где? Когда?,team55288,Общий,18.5,55288,Casa Bonita,Братск,,31
chgk-13-2016,Что? Где? Когда?,team39502,Общий,20.5,39502,Большая банальная контузия,Иркутск,,30
chgk-13-2016,Что? Где? Когда?,team26792,Общий,20.5,26792,Та самая команда,Иркутск,,30
chgk-13-2016,Что? Где? Когда?,team44118,Общий,37.5,44118,"Глюк, я твой отец",Иркутск,,13
chgk-13-2016,Что? Где? Когда?,team53134,Общий,37.5,53134,Предикат,Иркутск,,13
chgk-13-2016,Что? Где? Когда?,team55242,Общий,39.5,55242,Маркс съедает конкурентов,Иркутск,,12
chgk-13-2016,Что? Где? Когда?,team46037,Общий,39.5,46037,Чайный пакетик,Ангарск,,12
chgk-13-2016,Что? Где? Когда?,gorodok-13-2016,Общий,5.5,50319,Городок,Улан-Удэ,,54
chgk-13-2016,Что? Где? Когда?,triumph-13-2016,Общий,5.5,26835,Триумф мы помним смутно,Иркутск,,54
chgk-13-2016,Что? Где? Когда?,team51650,Общий,52.5,51650,Совушки,Иркутск,,4
chgk-13-2016,Что? Где? Когда?,team52594,Общий,52.5,52594,Тартар,Иркутск,,4
multigames-01-2002,Многоборье,Лингва-01-2002,Общий,1,,Лингва,Иркутск,ИГЛУ,800
multigames-01-2002,Многоборье,fort_ross-01-2002,Общий,2,,Форт-Росс,Иркутск,,672
multigames-01-2002,Многоборье,Клэвэры-01-2002,Общий,3,,Клэвэры,Иркутск,БГУЭП,640
multigames-01-2002,Многоборье,911-01-2002,Общий,4,,911,Иркутск,,580
multigames-01-2002,Многоборье,ilic-children-01-2002,Общий,5,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,555
multigames-01-2002,Многоборье,nica-01-2002,Общий,6,,Ника,Иркутск,,550
multigames-01-2002,Многоборье,Гимли-01-2002,Общий,7,,Гимли,Иркутск,гимназия №1,534
multigames-01-2002,Многоборье,Мозговая атака-01-2002,Общий,8,,Мозговая атака,Иркутск,ВСИЭП,529
multigames-01-2002,Многоборье,ЮИ ИГУ-01-2002,Общий,9,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,525
multigames-01-2002,Многоборье,Антанта-01-2002,Общий,10,,Антанта,Иркутск,,512
multigames-01-2002,Многоборье,Суфии-01-2002,Общий,11,,Суфии,Иркутск,ИФ РГЭУ,506
multigames-01-2002,Многоборье,NEXT-01-2002,Общий,12,,NEXT,Иркутск,школа №11,500
multigames-01-2002,Многоборье,driver-01-2002,Общий,13,,Драйвер,Иркутск,БГУЭП,474
multigames-01-2002,Многоборье,Адреналин-01-2002,Общий,14,,Адреналин,Иркутск,БГУЭП,431
multigames-01-2002,Многоборье,Ликон-01-2002,Общий,15,,Ликон,Усолье-Сибирское,лицей№1,427
multigames-01-2002,Многоборье,Интеллект-01-2002,Общий,"16,5",,Интеллект,Тайшет,,426
multigames-01-2002,Многоборье,new_century-01-2002,Общий,"16,5",,Новый век,Иркутск,школа №11,426
multigames-01-2002,Многоборье,6.com-01-2002,Общий,18,,6.com,Иркутск,школа №26,370
multigames-01-2002,Многоборье,Иркутские гимназисты-01-2002,Общий,19,,Иркутские гимназисты,Иркутск,гимназия №3,368
multigames-01-2002,Многоборье,Мозговеды-01-2002,Общий,20,,Мозговеды,Иркутск,лицей №3,363
multigames-01-2002,Многоборье,nica62-01-2002,Общий,21,,Ника,Иркутск,школа №62,327
multigames-01-2002,Многоборье,Школа №17-01-2002,Общий,22,,Школа №17,Иркутск,школа №17,322
multigames-01-2002,Многоборье,ГМП-01-2002,Общий,23,,ГМП,Иркутск,Городской молодёжный парламент,317
multigames-01-2002,Многоборье,Кредо-01-2002,Общий,24,,Кредо,Иркутск,школа №11,290
multigames-01-2002,Многоборье,Статус-01-2002,Общий,25,,Статус,Иркутск,школа №11,286
multigames-01-2002,Многоборье,Бумеранг-01-2002,Общий,26,,Бумеранг,Иркутск,школа №6,263
multigames-01-2002,Многоборье,Дружба-01-2002,Общий,27,,Дружба,Иркутск,гимназия №2,258
multigames-01-2002,Многоборье,БудуШел-01-2002,Общий,28,,БудуШел,Шелехов,школа №4,196
multigames-01-2002,Многоборье,Сюрприз-01-2002,Общий,29,,Сюрприз,Иркутск,школа №22,186
multigames-01-2002,Многоборье,OK-01-2002,Общий,30,,OK,Иркутск,школа №49,135
multigames-01-2002,Многоборье,Новый NEXT-01-2002,Общий,31,,Новый NEXT,Иркутск,школа №35,80
multigames-01-2002-ind,Многоборье,Анастасия Таранко-01-2002,Индивидуальный,1,,Анастасия Таранко,Иркутск,Суфии,
multigames-03-2004,Многоборье,arzamas-03-2004,Общий,1,2111,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,212
multigames-03-2004,Многоборье,ЮИ ИГУ-03-2004,Общий,2,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,203
multigames-03-2004,Многоборье,fort_ross-03-2004,Общий,3,,Форт-Росс,Иркутск,ИГУ,168
multigames-03-2004,Многоборье,arzamas-03-2004,Студенческий,1,,Арзамас-2004,Иркутск,ИГУ,212
multigames-03-2004,Многоборье,ЮИ ИГУ-03-2004,Студенческий,2,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,203
multigames-03-2004,Многоборье,fort_ross-03-2004,Студенческий,3,,Форт-Росс,Иркутск,ИГУ,168
multigames-03-2004,Многоборье,911-03-2004,Студенческий,4,,911,Иркутск,,167
multigames-03-2004,Многоборье,driver-03-2004,Студенческий,5,,Драйвер,Иркутск,БГУЭП,151
multigames-03-2004,Многоборье,Парабеллум-03-2004,Студенческий,6,,Парабеллум,Иркутск,ИГУ,134
multigames-03-2004,Многоборье,new_century-03-2004,Студенческий,7,,Новый век,Иркутск,,131
multigames-03-2004,Многоборье,Суфии-03-2004,Студенческий,8,,Суфии,Иркутск,ИФ РГТЭУ,127
multigames-03-2004,Многоборье,ГМП-03-2004,Студенческий,9,,ГМП,Иркутск,,126
multigames-03-2004,Многоборье,Золотая молодёжь-03-2004,Студенческий,10,,Золотая молодёжь,Иркутск,БГИ,121
multigames-03-2004,Многоборье,Бизнес-лидер-03-2004,Студенческий,11,,Бизнес-лидер,Иркутск,ИрГУПС,118
multigames-03-2004,Многоборье,herodotus-03-2004,Студенческий,12,,Геродот,Иркутск,ИГУ,111
multigames-03-2004,Многоборье,Птица говорун-03-2004,Студенческий,13,,Птица говорун,Иркутск,БГУЭП,96
multigames-03-2004,Многоборье,Международный факультет ИГУ-03-2004,Студенческий,14,,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,75
multigames-03-2004,Многоборье,Перекрёсток-03-2004,Школьный,1,,Перекрёсток,Иркутск,школа №26,132
multigames-03-2004,Многоборье,irk_gymnasium_students-03-2004,Школьный,2,,Иркутские гимназисты,Иркутск,гимназия №3,131
multigames-03-2004,Многоборье,Кредо-03-2004,Школьный,3,,Кредо,Иркутск,школа №11,119
multigames-03-2004,Многоборье,65.ру-03-2004,Школьный,4,,65.ру,Иркутск,школа №65,116
multigames-03-2004,Многоборье,Гротеск-03-2004,Школьный,5,,Гротеск,Иркутск,школа №11,113
multigames-03-2004,Многоборье,Тяжёлый случай-03-2004,Школьный,6,,Тяжёлый случай,Иркутск,лицей №2,108
multigames-03-2004,Многоборье,LIM-03-2004,Школьный,7,,LIM,Иркутск,лицей №2,108
multigames-03-2004,Многоборье,Знатоки-03-2004,Школьный,"8,5",,Знатоки,Иркутск,школа №10,106
multigames-03-2004,Многоборье,Симпомпули-03-2004,Школьный,"8,5",,Симпомпули,Иркутск,школа №26,106
multigames-03-2004,Многоборье,IQ-03-2004,Школьный,10,,IQ,Иркутск,лицей №2,105
multigames-03-2004,Многоборье,Ума.НЕТ-03-2004,Школьный,11,,Ума.НЕТ,Иркутск,православная женская гимназия,104
multigames-03-2004,Многоборье,СНГ-03-2004,Школьный,12,,СНГ,Иркутск,гимназия №25,97
multigames-03-2004,Многоборье,Сократ-03-2004,Школьный,13,,Сократ,Иркутск,гимназия №44,94
multigames-03-2004,Многоборье,Юная золотая молодёжь-03-2004,Школьный,14,,Юная золотая молодёжь,Иркутск,БКПП,92
multigames-03-2004,Многоборье,Статус-03-2004,Школьный,15,,Статус,Иркутск,школа №11,87
multigames-03-2004,Многоборье,Улетевшие-03-2004,Школьный,16,,Улетевшие,Иркутск,Иркутский авиационный техникум,82
multigames-03-2004,Многоборье,Виктория-03-2004,Школьный,17,,Виктория,Иркутск,школа №66,78
multigames-03-2004,Многоборье,Антиинтеллект-03-2004,Школьный,18,,Антиинтеллект,Иркутск,школа №17,70
multigames-03-2004,Многоборье,OK-03-2004,Школьный,19,,OK,Иркутск,школа №49,69
multigames-03-2004,Многоборье,Империя знаний-03-2004,Школьный,20,,Империя знаний,Иркутск,лицей №2,68
multigames-03-2004,Многоборье,Баунти-03-2004,Школьный,21,,Баунти,Иркутск,школа №66,51
